datestr,daten,CPILFESL
"1957-01-01",01jan1957,28.5
"1957-02-01",01feb1957,28.6
"1957-03-01",01mar1957,28.7
"1957-04-01",01apr1957,28.8
"1957-05-01",01may1957,28.8
"1957-06-01",01jun1957,28.9
"1957-07-01",01jul1957,29
"1957-08-01",01aug1957,29
"1957-09-01",01sep1957,29.1
"1957-10-01",01oct1957,29.2
"1957-11-01",01nov1957,29.3
"1957-12-01",01dec1957,29.3
"1958-01-01",01jan1958,29.3
"1958-02-01",01feb1958,29.4
"1958-03-01",01mar1958,29.5
"1958-04-01",01apr1958,29.5
"1958-05-01",01may1958,29.5
"1958-06-01",01jun1958,29.6
"1958-07-01",01jul1958,29.6
"1958-08-01",01aug1958,29.6
"1958-09-01",01sep1958,29.7
"1958-10-01",01oct1958,29.7
"1958-11-01",01nov1958,29.8
"1958-12-01",01dec1958,29.9
"1959-01-01",01jan1959,29.9
"1959-02-01",01feb1959,29.9
"1959-03-01",01mar1959,30
"1959-04-01",01apr1959,30
"1959-05-01",01may1959,30.1
"1959-06-01",01jun1959,30.2
"1959-07-01",01jul1959,30.2
"1959-08-01",01aug1959,30.2
"1959-09-01",01sep1959,30.3
"1959-10-01",01oct1959,30.4
"1959-11-01",01nov1959,30.4
"1959-12-01",01dec1959,30.5
"1960-01-01",01jan1960,30.5
"1960-02-01",01feb1960,30.6
"1960-03-01",01mar1960,30.6
"1960-04-01",01apr1960,30.6
"1960-05-01",01may1960,30.6
"1960-06-01",01jun1960,30.7
"1960-07-01",01jul1960,30.6
"1960-08-01",01aug1960,30.6
"1960-09-01",01sep1960,30.6
"1960-10-01",01oct1960,30.8
"1960-11-01",01nov1960,30.8
"1960-12-01",01dec1960,30.7
"1961-01-01",01jan1961,30.8
"1961-02-01",01feb1961,30.8
"1961-03-01",01mar1961,30.9
"1961-04-01",01apr1961,30.9
"1961-05-01",01may1961,30.9
"1961-06-01",01jun1961,31
"1961-07-01",01jul1961,31
"1961-08-01",01aug1961,31.1
"1961-09-01",01sep1961,31.1
"1961-10-01",01oct1961,31.1
"1961-11-01",01nov1961,31.2
"1961-12-01",01dec1961,31.2
"1962-01-01",01jan1962,31.2
"1962-02-01",01feb1962,31.2
"1962-03-01",01mar1962,31.3
"1962-04-01",01apr1962,31.3
"1962-05-01",01may1962,31.4
"1962-06-01",01jun1962,31.4
"1962-07-01",01jul1962,31.4
"1962-08-01",01aug1962,31.5
"1962-09-01",01sep1962,31.5
"1962-10-01",01oct1962,31.5
"1962-11-01",01nov1962,31.5
"1962-12-01",01dec1962,31.6
"1963-01-01",01jan1963,31.5
"1963-02-01",01feb1963,31.6
"1963-03-01",01mar1963,31.7
"1963-04-01",01apr1963,31.7
"1963-05-01",01may1963,31.7
"1963-06-01",01jun1963,31.8
"1963-07-01",01jul1963,31.8
"1963-08-01",01aug1963,31.9
"1963-09-01",01sep1963,31.9
"1963-10-01",01oct1963,32
"1963-11-01",01nov1963,32
"1963-12-01",01dec1963,32.1
"1964-01-01",01jan1964,32.2
"1964-02-01",01feb1964,32.2
"1964-03-01",01mar1964,32.2
"1964-04-01",01apr1964,32.2
"1964-05-01",01may1964,32.2
"1964-06-01",01jun1964,32.3
"1964-07-01",01jul1964,32.3
"1964-08-01",01aug1964,32.3
"1964-09-01",01sep1964,32.3
"1964-10-01",01oct1964,32.4
