datestr,daten,INDPRO,FEDFUNDS,CPILFESL,UNRATE,DPCCRAM1M225NBEA,INDPRO_PCH
2/1/1959,1-Feb-59,23.0681,2.43,29.9,5.9,1.6,1.95845
3/1/1959,1-Mar-59,23.4004,2.8,30,5.6,1.7,1.44052
4/1/1959,1-Apr-59,23.8989,2.96,30,5.2,-0.3,2.13031
5/1/1959,1-May-59,24.2589,2.9,30.1,5.1,0.9,1.50635
6/1/1959,1-Jun-59,24.2866,3.39,30.2,5,0.4,0.11418
7/1/1959,1-Jul-59,23.705,3.47,30.2,5.1,-0.3,-2.39474
8/1/1959,1-Aug-59,22.9019,3.5,30.2,5.2,0.8,-3.38789
9/1/1959,1-Sep-59,22.8743,3.76,30.3,5.5,1.4,-0.12051
10/1/1959,1-Oct-59,22.7081,3.98,30.4,5.7,-1.1,-0.72658
11/1/1959,1-Nov-59,22.8466,4,30.4,5.8,0,0.60991
12/1/1959,1-Dec-59,24.2589,3.99,30.5,5.3,-0.3,6.18166
1/1/1960,1-Jan-60,24.8958,3.99,30.5,5.2,0.6,2.62543
2/1/1960,1-Feb-60,24.6743,3.97,30.6,4.8,0.7,-0.88971
3/1/1960,1-Mar-60,24.4528,3.84,30.6,5.4,1,-0.8977
4/1/1960,1-Apr-60,24.2589,3.92,30.6,5.2,2.1,-0.79296
5/1/1960,1-May-60,24.2312,3.85,30.6,5.1,-2.3,-0.11418
6/1/1960,1-Jun-60,23.9266,3.32,30.7,5.4,-0.1,-1.25706
7/1/1960,1-Jul-60,23.8435,3.23,30.6,5.5,0.2,-0.34731
8/1/1960,1-Aug-60,23.8158,2.98,30.6,5.6,0.3,-0.11617
9/1/1960,1-Sep-60,23.5666,2.6,30.6,5.5,0.6,-1.04636
10/1/1960,1-Oct-60,23.5389,2.47,30.8,6.1,0.6,-0.11754
11/1/1960,1-Nov-60,23.2066,2.44,30.8,6.1,-0.9,-1.41171
12/1/1960,1-Dec-60,22.7635,1.98,30.7,6.6,-1.2,-1.90937
1/1/1961,1-Jan-61,22.7912,1.45,30.8,6.6,0.1,0.12169
2/1/1961,1-Feb-61,22.7635,2.54,30.8,6.9,0.5,-0.12154
3/1/1961,1-Mar-61,22.902,2.02,30.9,6.9,1.5,0.60843
4/1/1961,1-Apr-61,23.3727,1.49,30.9,7,-0.4,2.05528
5/1/1961,1-May-61,23.7327,1.98,30.9,7.1,0.9,1.54026
6/1/1961,1-Jun-61,24.065,1.73,31,6.9,0.2,1.40018
7/1/1961,1-Jul-61,24.342,1.17,31,7,0.1,1.15105
8/1/1961,1-Aug-61,24.5635,2,31.1,6.6,0.2,0.90995
9/1/1961,1-Sep-61,24.5358,1.88,31.1,6.7,0.6,-0.11277
10/1/1961,1-Oct-61,25.0066,2.26,31.1,6.5,1,1.91883
11/1/1961,1-Nov-61,25.3943,2.61,31.2,6.1,1.2,1.55039
12/1/1961,1-Dec-61,25.6158,2.33,31.2,6,0.7,0.87224
1/1/1962,1-Jan-62,25.3943,2.15,31.2,5.8,0.1,-0.8647
2/1/1962,1-Feb-62,25.8097,2.37,31.2,5.5,-0.2,1.6358
3/1/1962,1-Mar-62,25.9482,2.85,31.3,5.6,0.9,0.53662
4/1/1962,1-Apr-62,26.0035,2.78,31.3,5.6,0.8,0.21312
5/1/1962,1-May-62,25.9758,2.36,31.4,5.5,0.8,-0.10652
6/1/1962,1-Jun-62,25.9205,2.68,31.4,5.5,-0.6,-0.21289
7/1/1962,1-Jul-62,26.1697,2.71,31.4,5.4,0.3,0.9614
8/1/1962,1-Aug-62,26.1974,2.93,31.5,5.7,0.3,0.10585
9/1/1962,1-Sep-62,26.3635,2.9,31.5,5.6,1.5,0.63403
10/1/1962,1-Oct-62,26.3912,2.9,31.5,5.4,-0.7,0.10507
11/1/1962,1-Nov-62,26.502,2.94,31.5,5.7,1.7,0.41984
12/1/1962,1-Dec-62,26.502,2.93,31.6,5.5,0.6,0
