datestr,daten,DPCCRAM1M225NBEA
"1959-02-01",01feb1959,1.6
"1959-03-01",01mar1959,1.7
"1959-04-01",01apr1959,-.3
"1959-05-01",01may1959,.9
"1959-06-01",01jun1959,.4
"1959-07-01",01jul1959,-.3
"1959-08-01",01aug1959,.8
"1959-09-01",01sep1959,1.4
"1959-10-01",01oct1959,-1.1
"1959-11-01",01nov1959,0
"1959-12-01",01dec1959,-.3
"1960-01-01",01jan1960,.6
"1960-02-01",01feb1960,.7
"1960-03-01",01mar1960,1
"1960-04-01",01apr1960,2.1
"1960-05-01",01may1960,-2.3
"1960-06-01",01jun1960,-.1
"1960-07-01",01jul1960,.2
"1960-08-01",01aug1960,.3
"1960-09-01",01sep1960,.6
"1960-10-01",01oct1960,.6
"1960-11-01",01nov1960,-.9
"1960-12-01",01dec1960,-1.2
"1961-01-01",01jan1961,.1
"1961-02-01",01feb1961,.5
"1961-03-01",01mar1961,1.5
"1961-04-01",01apr1961,-.4
"1961-05-01",01may1961,.9
"1961-06-01",01jun1961,.2
"1961-07-01",01jul1961,.1
"1961-08-01",01aug1961,.2
"1961-09-01",01sep1961,.6
"1961-10-01",01oct1961,1
"1961-11-01",01nov1961,1.2
"1961-12-01",01dec1961,.7
"1962-01-01",01jan1962,.1
"1962-02-01",01feb1962,-.2
"1962-03-01",01mar1962,.9
"1962-04-01",01apr1962,.8
"1962-05-01",01may1962,.8
"1962-06-01",01jun1962,-.6
"1962-07-01",01jul1962,.3
"1962-08-01",01aug1962,.3
"1962-09-01",01sep1962,1.5
"1962-10-01",01oct1962,-.7
"1962-11-01",01nov1962,1.7
"1962-12-01",01dec1962,.6
"1963-01-01",01jan1963,-.3
"1963-02-01",01feb1963,-.3
"1963-03-01",01mar1963,.6
"1963-04-01",01apr1963,.6
"1963-05-01",01may1963,-.1
"1963-06-01",01jun1963,1.4
"1963-07-01",01jul1963,.5
"1963-08-01",01aug1963,.2
"1963-09-01",01sep1963,0
"1963-10-01",01oct1963,0
"1963-11-01",01nov1963,.9
"1963-12-01",01dec1963,1.3
"1964-01-01",01jan1964,.4
"1964-02-01",01feb1964,.8
"1964-03-01",01mar1964,.2
"1964-04-01",01apr1964,.2
"1964-05-01",01may1964,1.5
"1964-06-01",01jun1964,.6
"1964-07-01",01jul1964,.7
"1964-08-01",01aug1964,.5
"1964-09-01",01sep1964,-.4
"1964-10-01",01oct1964,.7
"1964-11-01",01nov1964,-.7
"1964-12-01",01dec1964,.5
"1965-01-01",01jan1965,1.3
"1965-02-01",01feb1965,1.6
"1965-03-01",01mar1965,.6
