datestr,daten,UNRATE
"1948-01-01",01jan1948,3.4
"1948-02-01",01feb1948,3.8
"1948-03-01",01mar1948,4
"1948-04-01",01apr1948,3.9
"1948-05-01",01may1948,3.5
"1948-06-01",01jun1948,3.6
"1948-07-01",01jul1948,3.6
"1948-08-01",01aug1948,3.9
"1948-09-01",01sep1948,3.8
"1948-10-01",01oct1948,3.7
"1948-11-01",01nov1948,3.8
"1948-12-01",01dec1948,4
"1949-01-01",01jan1949,4.3
"1949-02-01",01feb1949,4.7
"1949-03-01",01mar1949,5
"1949-04-01",01apr1949,5.3
"1949-05-01",01may1949,6.1
"1949-06-01",01jun1949,6.2
"1949-07-01",01jul1949,6.7
"1949-08-01",01aug1949,6.8
"1949-09-01",01sep1949,6.6
"1949-10-01",01oct1949,7.9
"1949-11-01",01nov1949,6.4
"1949-12-01",01dec1949,6.6
"1950-01-01",01jan1950,6.5
"1950-02-01",01feb1950,6.4
"1950-03-01",01mar1950,6.3
"1950-04-01",01apr1950,5.8
"1950-05-01",01may1950,5.5
"1950-06-01",01jun1950,5.4
"1950-07-01",01jul1950,5
"1950-08-01",01aug1950,4.5
"1950-09-01",01sep1950,4.4
"1950-10-01",01oct1950,4.2
"1950-11-01",01nov1950,4.2
"1950-12-01",01dec1950,4.3
"1951-01-01",01jan1951,3.7
"1951-02-01",01feb1951,3.4
"1951-03-01",01mar1951,3.4
"1951-04-01",01apr1951,3.1
"1951-05-01",01may1951,3
"1951-06-01",01jun1951,3.2
"1951-07-01",01jul1951,3.1
"1951-08-01",01aug1951,3.1
"1951-09-01",01sep1951,3.3
"1951-10-01",01oct1951,3.5
"1951-11-01",01nov1951,3.5
"1951-12-01",01dec1951,3.1
"1952-01-01",01jan1952,3.2
"1952-02-01",01feb1952,3.1
"1952-03-01",01mar1952,2.9
"1952-04-01",01apr1952,2.9
"1952-05-01",01may1952,3
"1952-06-01",01jun1952,3
"1952-07-01",01jul1952,3.2
"1952-08-01",01aug1952,3.4
"1952-09-01",01sep1952,3.1
